trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.1, 'e': 0.36972963764972644}",20,8,8.500020787738759,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.3660323412732292}",20,13,-21.318920147531145,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.3623720178604969}",20,12,-29.71503083044477,"{0: 4, 1: 3, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.3587482976818919}",20,0,-81.76439973840543,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
104,False,"{'a': 0.1, 'e': 0.355160814705073}",20,3,-4.958849654248398,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.35160920655802225}",20,7,-3.264852606197948,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.348093114492442}",25,10,-48.62582716796528,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.1, 'e': 0.3446121833475176}",25,10,18.566233288049165,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.34116606151404244}",20,0,-10.698396787309838,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
109,False,"{'a': 0.1, 'e': 0.337754400898902}",30,0,10.45655055428473,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.334376856889913}",30,18,7.656982389255083,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.33103308832101386}",30,4,10.274696965699116,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.3277227574378037}",20,0,-13.860904336961852,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.1, 'e': 0.3244455298634257}",25,15,19.68726194688277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.3212010745647914}",25,0,38.38369993775193,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.1, 'e': 0.3179890638191435}",20,10,-31.5828091411899,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.1, 'e': 0.31480917318095203}",25,0,-59.085499419205846,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.3116610814491425}",25,0,-26.598343818387807,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.30854447063465107}",25,0,-38.24424033892525,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.3054590259283046}",20,0,-109.24662706101392,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
120,False,"{'a': 0.1, 'e': 0.30240443566902153}",30,5,-79.8714793879535,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",1
121,False,"{'a': 0.1, 'e': 0.2993803913123313}",20,0,-1.2461948595741106,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.296386587399208}",20,0,-4.099527196421243,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.2934227215252159}",20,3,-8.669352236863793,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.29048849430996376}",25,16,-0.39483546864390484,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.2875836093668641}",25,9,12.022151370251414,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.28470777327319546}",30,0,-26.62842544102734,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.1, 'e': 0.2818606955404635}",20,14,-33.445144003537024,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.1, 'e': 0.27904208858505886}",25,14,1.547425712204535,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.2762516676992083}",20,14,2.3726146730646676,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.2734891510222162}",25,18,-1.676692893139299,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
